"","MOD13Q1.A2021273.h29v12.061.2021290014259.hdf","MOD13Q1.A2021289.h29v12.061.2021306182739.hdf","MOD13Q1.A2021305.h29v12.061.2021322012556.hdf","MOD13Q1.A2021321.h29v12.061.2021338161624.hdf","MOD13Q1.A2021337.h29v12.061.2021355015752.hdf","MOD13Q1.A2021353.h29v12.061.2022005001445.hdf","MOD13Q1.A2022001.h29v12.061.2022018175249.hdf","MOD13Q1.A2022017.h29v12.061.2022035004006.hdf","MOD13Q1.A2022033.h29v12.061.2022051005509.hdf","MOD13Q1.A2022049.h29v12.061.2022066003438.hdf","MOD13Q1.A2022065.h29v12.061.2022101213442.hdf","MOD13Q1.A2022081.h29v12.061.2022098001637.hdf","MOD13Q1.A2022097.h29v12.061.2022121225730.hdf","MOD13Q1.A2022113.h29v12.061.2022136104509.hdf","MOD13Q1.A2022129.h29v12.061.2022146013359.hdf","MOD13Q1.A2022145.h29v12.061.2022168103709.hdf","MOD13Q1.A2022161.h29v12.061.2022178180901.hdf","MOD13Q1.A2022177.h29v12.061.2022195120941.hdf","MOD13Q1.A2022193.h29v12.061.2022215014134.hdf","MOD13Q1.A2022209.h29v12.061.2022232150301.hdf","MOD13Q1.A2022225.h29v12.061.2022242000745.hdf","MOD13Q1.A2022241.h29v12.061.2022258131502.hdf","MOD13Q1.A2022257.h29v12.061.2022274023057.hdf","MOD13Q1.A2022273.h29v12.061.2022297154036.hdf","MOD13Q1.A2022289.h29v12.061.2022307122840.hdf","MOD13Q1.A2022305.h29v12.061.2022322030300.hdf","MOD13Q1.A2022321.h29v12.061.2022351024115.hdf"
"33",8508.536639008,8299.55485174267,8071.13718715728,7527.25075528932,7951.25053904331,7807.3910004243,7979.47723543361,8570.02871734955,7836.44683699562,8454.7611973133,8742.22203038951,8531.31512682634,8933.01169829196,8635.85217420745,8907.3177411253,9011.72413350069,8750.55817935232,8520.47450787636,8675.83468233628,8624.68798009595,8805.06976129306,8176.7982378208,8445.83375875434,8097.96008824552,6533.8347226284,7902.68667433239,8134.53530670087
"34",8510.80603365302,8315.49822150367,7633.41912062306,8092.10567930771,7647.68725408365,8448.88442937939,8538.52066540724,8359.95475156189,8254.64360235394,8684.83499866176,8635.2114048025,8650.06487924137,8731.87360813677,8772.11715253783,8824.01735431973,8806.59314509093,8763.7410083409,9256.31194671381,8814.9634341193,8857.71604780082,8924.25771016877,8583.89864090427,8462.12606605613,8210.87655334982,5734.14243755656,7956.83293460188,8109.62824757397
"35",7441.50419010858,7888.46907997587,7565.43622598269,7267.91464382182,7579.28482058888,7679.77552291897,7873.38516082675,8129.42399950335,7683.96971608313,8112.95842913482,8071.26870314188,8428.65077582255,8251.96103685038,8557.61960621379,8299.98086654997,8377.3366131258,8456.63709031301,8231.40563845513,8579.72654162339,8325.40071544011,8211.4341967734,8191.19632130478,8089.21661524309,8170.12481060452,4756.96920560483,7516.44667054061,7980.13505920081
"36",7814.51894380103,8203.29240182754,7920.03958161372,7811.14677026142,7889.949967963,8136.31948959955,7806.88523151406,7947.36423203308,7768.19847410322,8206.92311785107,7972.61138536122,8309.99563228946,8596.42872483147,8544.86530325358,8664.82337566751,8584.64572132007,8556.4143717823,8638.28245953044,8498.26258853131,8517.53326855412,8430.07384293389,8294.53674221391,8326.74796026121,8258.1067252327,4072.52363074933,7987.760429423,7967.80683583427
"37",8065.18775802903,8052.96815554447,7223.4064051371,7470.69855836164,7377.6612994074,7670.64136702271,7694.09512623281,7824.44270772656,7868.99351305742,8143.81752207295,8222.93824280225,8277.01258556336,8308.40439545842,8690.77641937752,8572.18584244389,8339.33366774502,8551.5321292652,8528.34758082477,8501.27726281523,8470.24537150608,8022.51406028889,8193.32813031962,8199.63654162126,8039.29582994087,1315.86594572937,7705.75549153292,7889.93040911319
"38",8557.19364326708,8343.68074041604,7346.67804233338,7639.5440646414,7962.04124083262,7985.98436082001,8371.20967160238,8378.89676863629,8165.80197276033,8538.37359064017,8341.45802454877,8883.22846714263,8782.12740525622,8901.13582390318,8851.31311596991,8981.02924948013,8854.6653527984,8844.51873368796,8742.73432598186,8852.02092215935,8438.4668213186,8630.39561266224,8441.69248877335,8439.75441364599,4340.48224482251,8355.69162187684,8221.32641388854
"39",8041.95801697408,8167.19078382041,7729.19508440115,7898.02191328191,7796.00665086472,8118.24956766711,8168.00859041828,8433.53954590071,8184.30257835135,8489.21917877042,8641.44932184054,8790.79628311714,9063.00321139958,8822.25031802532,8972.31840205386,8969.1620094807,8968.90034921981,8763.32065966961,8598.82870037701,8777.16702523708,8831.03523339354,8683.11070829903,8479.38457302991,8269.22824911683,3252.72095913123,8198.30671773684,8050.8722513915
"40",7624.27522140984,8282.69205385707,7889.51622812993,7491.32350093028,7913.31210334161,8023.86400302261,8340.84410030894,8239.02005121378,8282.04266069319,8447.93152699329,8156.21464568436,8631.97528264883,8883.46204454243,8750.2662414244,9004.43260126399,9110.90107838274,8999.57637846951,8761.00917548292,8678.99496674975,8701.92754832024,8553.28932233187,8541.49462829287,8550.06010306032,8384.25200099123,1800.21013244469,8164.50341587963,8197.31036890093
"41",7834.83709507997,7886.70407564397,7646.87904884816,7449.75698882265,8025.56618899964,7901.55352812907,8610.77035840629,8322.52163846166,7879.31310069261,7853.50967304162,8142.94102155086,8344.82024862103,8516.80378003624,8398.2171483126,8275.65952511951,8694.41966913574,7914.4181709152,5967.74565032013,7665.52277933413,8309.12895009393,8569.02168118656,8054.10532669078,8099.84724061427,8449.02307499125,4447.61366988141,7930.93511234257,8415.53698190321
"42",7504.69746195597,8022.48108080591,7318.82183843756,7534.03454817116,7546.8656624343,7890.61370612408,7457.07485030153,8334.78577345301,7886.39254821662,7749.3517733545,8102.45974500567,8124.41038513488,8512.61168438293,8456.07049256202,8295.91994757655,8630.23117878619,8341.90213292931,4275.19120071569,7593.1390563687,8396.19014749743,8631.23422475405,8126.99059195919,7843.03389180261,8428.00187735296,7025.03988965595,8003.65980914775,8547.92801927243
